"Player","Team","REC","YDS","TDS","FL","FPTS"
"Â ","",""
"Rob Gronkowski","NE","68.2","991.6","9.2","0.3","153.6"
"Greg Olsen","CAR","77.4","1,007.2","5.6","0.3","133.8"
"Travis Kelce","KC","80.6","1,012.6","5.4","0.8","132.2"
"Jordan Reed","WAS","77.9","851.5","6.7","2.4","120.7"
"Jimmy Graham","SEA","63.7","814.0","6.5","1.9","116.8"
"Kyle Rudolph","MIN","75.3","758.7","5.8","0.3","110.0"
"Tyler Eifert","CIN","56.7","712.6","6.4","0.3","108.8"
"Zach Ertz","PHI","73.5","778.2","4.6","0.4","104.6"
"Delanie Walker","TEN","61.0","729.5","5.4","0.3","104.5"
"Martellus Bennett","GB","60.5","664.9","6.1","0.3","102.7"
"Eric Ebron","DET","63.3","721.8","4.2","0.2","96.7"
"Hunter Henry","LAC","49.9","624.0","6.2","1.4","96.7"
"Coby Fleener","NO","51.3","614.6","4.5","0.3","87.6"
"Jack Doyle","IND","58.6","588.5","5.2","1.4","87.2"
"Jason Witten","DAL","64.8","637.8","3.9","1.6","83.7"
"Austin Hooper","ATL","42.5","516.2","4.9","0.2","80.8"
"Cameron Brate","TB","46.3","534.8","4.6","0.3","80.7"
"C.J. Fiedorowicz","HOU","52.3","545.3","3.8","0.5","76.3"
"Jared Cook","OAK","48.3","559.1","4.0","2.0","76.0"
"Charles Clay","BUF","51.3","540.8","3.6","0.3","75.2"
"Julius Thomas","MIA","45.1","471.6","4.7","0.3","74.9"
"Antonio Gates","LAC","42.9","467.4","4.5","1.6","70.7"
"David Njoku","CLE","45.5","475.3","2.9","0.5","63.6"
"Evan Engram","NYG","43.4","458.8","3.1","0.5","63.3"
"Jesse James","PIT","42.8","429.9","3.2","0.2","61.9"
"Jermaine Gresham","ARI","40.1","428.3","3.1","0.4","60.9"
"O.J. Howard","TB","37.4","398.1","3.3","0.5","58.6"
"Zach Miller","CHI","37.0","402.1","3.1","0.1","58.4"
"Austin Seferian-Jenkins","NYJ","35.3","420.5","2.5","0.3","56.6"
"Erik Swoope","IND","28.9","359.4","3.1","0.3","54.0"
"Tyler Higbee","LAR","32.6","319.5","2.7","0.3","47.7"
"Vance McDonald","SF","25.4","309.4","2.7","0.4","46.2"
"Vernon Davis","WAS","27.2","333.2","2.2","0.4","45.4"
"Dwayne Allen","NE","22.7","262.1","3.2","0.1","45.1"
"Benjamin Watson","BAL","31.3","317.4","2.1","1.1","42.4"
"Ryan Griffin","HOU","30.0","293.2","1.7","1.1","37.2"
"Mychal Rivera","JAC","25.8","256.2","1.7","0.4","35.3"
"Xavier Grimble","PIT","23.0","241.2","1.9","0.2","35.2"
"Seth DeValve","CLE","22.7","226.4","2.1","0.3","34.4"
"Gerald Everett","LAR","25.2","263.2","1.4","0.4","33.9"
"Virgil Green","DEN","23.1","252.3","1.5","0.4","33.7"
"Clive Walford","OAK","20.7","226.3","1.8","0.3","32.8"
"Garrett Celek","SF","21.2","239.0","1.7","1.1","32.0"
"Trey Burton","PHI","22.6","215.6","1.8","0.3","31.5"
"George Kittle","SF","21.3","226.9","1.6","0.6","31.1"
"Josh Hill","NO","21.9","216.3","1.4","0.3","29.5"
"Adam Shaheen","CHI","19.5","202.2","1.6","0.6","28.8"
"Dion Sims","CHI","20.1","194.4","1.7","0.5","28.7"
"Maxx Williams","BAL","22.2","212.3","1.3","0.2","28.3"
"Marcedes Lewis","JAC","22.7","221.7","1.1","0.4","27.8"
"A.J. Derby","DEN","22.3","216.5","1.5","2.5","25.4"
"Will Tye","NYG","22.1","200.8","0.9","0.4","24.7"
"Nick Boyle","BAL","22.6","191.2","1.0","0.2","24.7"
"Jonnu Smith","TEN","16.2","170.4","1.3","0.4","24.0"
"Rico Gathers","DAL","15.0","165.0","1.0","0.0","22.5"
"Levine Toilolo","ATL","14.3","161.8","1.1","0.2","22.1"
"Demetrius Harris","KC","17.9","167.2","1.0","0.4","21.8"
"Ed Dickson","CAR","13.1","151.3","1.1","0.3","20.9"
"Luke Willson","SEA","14.0","151.4","1.0","0.2","20.6"
"Richard Rodgers","GB","16.3","157.4","0.8","0.1","20.6"
"MarQueis Gray","MIA","14.4","150.1","1.0","0.3","20.1"
"Daniel Brown","CHI","19.0","156.0","0.8","0.4","19.6"
"Anthony Fasano","MIA","12.6","141.8","0.8","0.3","18.1"
"Lance Kendricks","GB","12.1","119.9","1.1","0.3","17.7"
"Jeff Heuerman","DEN","12.2","138.7","0.8","0.5","17.6"
"Stephen Anderson","HOU","13.9","133.0","0.8","0.3","17.5"
"Troy Niklas","ARI","11.5","113.1","0.9","0.1","16.2"
"Jordan Leggett","NYJ","10.5","107.1","0.7","0.0","14.9"
"Nick O'Leary","BUF","9.3","106.4","0.6","0.1","14.3"
"Jerell Adams","NYG","10.5","99.2","0.6","0.1","13.5"
"Rhett Ellison","NYG","9.9","103.5","0.6","0.1","13.5"
"Jace Amaro","TEN","9.1","104.2","0.5","0.0","13.4"
"Jake Butt","DEN","9.4","96.5","0.6","0.4","12.6"
"Brent Celek","PHI","9.6","107.8","0.3","0.1","12.6"
"Larry Donnell","BAL","11.7","93.7","0.6","0.4","12.0"
"Geoff Swaim","DAL","8.1","81.1","0.7","0.1","12.0"
"Darren Fells","DET","7.7","86.0","0.6","0.1","11.7"
"Michael Roberts","DET","8.5","89.4","0.4","0.0","11.5"
"C.J. Uzomah","CIN","8.9","89.2","0.4","0.1","11.4"
"Ben Koyack","JAC","8.5","80.1","0.5","0.1","11.1"
"Chris Manhertz","CAR","5.5","65.9","0.7","0.0","11.0"
"Gavin Escobar","KC","11.9","114.8","0.7","2.5","10.9"
"D.J. Tialavea","ATL","5.8","69.2","0.7","0.0","10.9"
"Cole Wick","DET","9.2","90.7","0.3","0.0","10.8"
"Nick Vannett","SEA","7.6","79.8","0.4","0.0","10.6"
"Ross Travis","KC","6.7","73.4","0.5","0.1","10.1"
"Logan Paulsen","SF","7.6","73.9","0.5","0.2","9.9"
"Joshua Perkins","ATL","3.7","53.0","0.6","0.0","9.1"
"Matt Lengel","NE","4.5","51.3","0.6","0.0","8.5"
"Eric Tomlinson","NYJ","5.8","61.2","0.4","0.0","8.5"
"James Hanna","DAL","7.0","70.9","0.2","0.0","8.5"
"Michael Hoomanawanui","NO","6.1","54.1","0.7","0.5","8.3"
"Tyler Kroft","CIN","7.0","71.5","0.2","0.1","8.1"
"Eric Saubert","ATL","6.3","72.0","0.1","0.0","8.0"
"David Johnson","PIT","5.9","63.0","0.4","0.3","7.9"
"Matt LaCosse","NYG","5.6","54.3","0.4","0.0","7.7"
"Asante Cleveland","LAC","5.5","51.4","0.4","0.0","7.7"
"Neal Sterling","JAC","8.0","73.0","0.1","0.1","7.7"
"John Phillips","NO","6.3","46.5","0.5","0.1","7.7"
"David Morgan","MIN","6.8","55.3","0.4","0.0","7.7"
"Ifeanyi Momah","ARI","4.2","55.1","0.4","0.1","7.7"
"Logan Thomas","BUF","4.6","49.3","0.4","0.0","7.3"
"Bucky Hodges","MIN","5.6","56.5","0.3","0.0","7.3"
"Alan Cross","TB","4.4","43.2","0.5","0.0","7.3"
"Cooper Helfet","OAK","4.8","47.9","0.4","0.0","7.3"
"Niles Paul","WAS","4.6","54.2","0.3","0.1","7.1"
"Temarrick Hemingway","LAR","4.7","49.7","0.3","0.0","7.0"
"Sean McGrath","LAC","3.8","45.1","0.4","0.1","6.9"
"Luke Stocker","TB","7.2","51.5","0.3","0.1","6.6"
"Jeremy Sprinkle","WAS","5.0","48.0","0.3","0.0","6.6"
"Lee Smith","OAK","6.5","46.6","0.4","0.1","6.6"
"Randall Telfer","CLE","5.5","51.4","0.3","0.1","6.5"
"Alex Ellis","JAC","5.4","42.3","0.4","0.0","6.4"
"Blake Bell","SF","3.5","49.1","0.3","0.1","6.3"
"Mason Schreck","CIN","4.0","41.0","0.3","0.0","5.9"
"Ben Braunecker","CHI","4.5","46.3","0.2","0.1","5.8"
"MyCole Pruitt","CHI","6.0","52.0","0.1","0.1","5.6"
"Hakeem Valles","ARI","4.4","43.9","0.2","0.0","5.6"
"James O'Shaughnessy","NE","4.7","47.2","0.1","0.1","5.1"
"Derek Carrier","WAS","4.6","37.1","0.2","0.1","4.9"
"Clay Harbor","NO","5.0","35.3","0.3","0.1","4.8"
"Cory Harkey","LAR","4.3","31.6","0.3","0.1","4.7"
"Khari Lee","DET","4.0","35.0","0.2","0.0","4.7"
"Brandon Williams","IND","3.0","34.8","0.2","0.1","4.4"
"Phillip Supernaw","TEN","3.4","38.3","0.1","0.2","4.3"
"Braedon Bowman","NO","3.0","27.0","0.2","0.0","3.9"
"Scott Simonson","CAR","3.0","31.0","0.0","0.0","3.1"
"Ryan Hewitt","CIN","3.0","24.5","0.0","0.1","2.3"
""
""